price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score
70000.0,105.0,2+1,Üsküdar,Güzeltepe,3.0,52.38
65000.0,70.0,2+1,Üsküdar,Güzeltepe,3.0,52.38
64000.0,150.0,3+1,Üsküdar,Barbaros,4.0,52.38
73000.0,80.0,2+1,Kadıköy,Acıbadem,3.0,74.31
60000.0,125.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
60000.0,89.0,2+1,Üsküdar,Kirazlıtepe,3.0,52.38
70000.0,185.0,4+1,Üsküdar,Güzeltepe,5.0,52.38
75000.0,160.0,3+1,Ünalan,Ünalan,4.0,10.0
57000.0,150.0,3+2,Merkez,Mimar Sinan,5.0,10.0
70000.0,85.0,2+1,Üsküdar,Çengelköy,3.0,52.38
60000.0,105.0,3+1,Üsküdar,Güzeltepe,4.0,52.38
75000.0,135.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
70000.0,110.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
67000.0,180.0,3+1,Merkez,Aziz Mahmut Hüdayi,4.0,10.0
61000.0,70.0,2+1,Bulgurlu,Merkez,3.0,10.0
59000.0,60.0,1+1,Kadıköy,Acıbadem,2.0,74.31
60000.0,110.0,3+1,Bulgurlu,Cumhuriyet,4.0,10.0
72000.0,90.0,2+1,Üsküdar,Çengelköy,3.0,52.38
56000.0,70.0,2+1,Üsküdar,Çengelköy,3.0,52.38
66000.0,165.0,4+1,Bahçelievler,Bahçelievler,5.0,10.0
64000.0,95.0,2+1,Ferah,Merkez,3.0,10.0
58000.0,60.0,2+1,Merkez,Salacak,3.0,10.0
65000.0,90.0,2+1,Üsküdar,Çengelköy,3.0,52.38
57500.0,100.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
57000.0,110.0,3+1,Üsküdar,Güzeltepe,4.0,52.38
58500.0,150.0,3+1,Üsküdar,Kuleli,4.0,52.38
57000.0,77.0,2+1,Üsküdar,Çengelköy,3.0,52.38
63000.0,120.0,3+1,Merkez,Mimar Sinan,4.0,10.0
62000.0,130.0,4+1,Bulgurlu,Merkez,5.0,10.0
68000.0,120.0,2+1,Ünalan,Ünalan,3.0,10.0
57000.0,92.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
75000.0,116.0,2+1,Üsküdar,Güzeltepe,3.0,52.38
74000.0,79.0,2+1,Kadıköy,Acıbadem,3.0,74.31
60000.0,140.0,3+1,Ferah,Merkez,4.0,10.0
72500.0,110.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
75000.0,110.0,3+1,Üsküdar,İcadiye,4.0,52.38
72000.0,120.0,3+1,Üsküdar,Küçüksu,4.0,52.38
68000.0,89.0,1+1,Kadıköy,Acıbadem,2.0,74.31
57000.0,90.0,2+1,Üsküdar,Burhaniye,3.0,52.38
75000.0,145.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
65000.0,135.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
63000.0,134.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
60000.0,115.0,2+1,Üsküdar,Barbaros,3.0,52.38
56500.0,150.0,3+1,Üsküdar,Burhaniye,4.0,52.38
65000.0,150.0,3+1,Kadıköy,Acıbadem,4.0,74.31
73000.0,128.0,3+1,Üsküdar,Küçüksu,4.0,52.38
70000.0,110.0,3+1,Üsküdar,Güzeltepe,4.0,52.38
62000.0,98.0,2+1,Üsküdar,Beylerbeyi,3.0,52.38
63000.0,105.0,3+1,Merkez,Mimar Sinan,4.0,10.0
70000.0,95.0,2+1,Merkez,Aziz Mahmut Hüdayi,3.0,10.0
75000.0,150.0,3+1,Üsküdar,Çengelköy,4.0,52.38
62500.0,115.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
57000.0,95.0,3+1,Üsküdar,Çengelköy,4.0,52.38
64000.0,116.0,3+1,Kadıköy,Acıbadem,4.0,74.31
58000.0,100.0,2+1,Üsküdar,Mehmet Akif Ersoy,3.0,52.38
58000.0,110.0,2+1,Ferah,Kısıklı,3.0,10.0
58000.0,134.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
65000.0,130.0,2+1,Kadıköy,Acıbadem,3.0,74.31
60000.0,150.0,3+1,Üsküdar,Selami Ali,4.0,52.38
75000.0,128.0,3+1,Üsküdar,Mehmet Akif Ersoy,4.0,52.38
72500.0,116.0,2+1,Üsküdar,Küçüksu,3.0,52.38
70000.0,125.0,3+1,Bahçelievler,Bahçelievler,4.0,10.0
75000.0,140.0,2+1,Bahçelievler,Bahçelievler,3.0,10.0
60000.0,140.0,3+1,Merkez,Sultantepe,4.0,10.0
75000.0,115.0,3+1,Üsküdar,Güzeltepe,4.0,52.38
70000.0,130.0,3+1,Üsküdar,Burhaniye,4.0,52.38
58000.0,100.0,2+1,Ünalan,Ünalan,3.0,10.0
